gameId,gameType,gameDate,Team,Oponente,Score_For,Score_Against,W_L,L_V,Goal_For_EV,Goal_Against_EV,Shot_For_EV,Miss_For_EV,Block_For_EV,Shot_Against_EV,Miss_Against_EV,Block_Against_EV,First_Goal_For,SOG_For,Faceoff_For,Pim_For,First_Goal_Against,SOG_Against,Faceoff_Against,Pim_Against,day_code
2024010014,1,2024-09-23,BUF,CBJ,6,1,1,1,5,1,21,16,15,16,14,10,1,21,0.385965,6,0,34,0.614035,8,0
2024010014,1,2024-09-23,CBJ,BUF,1,6,0,0,1,5,16,14,10,21,16,15,0,34,0.614035,8,1,21,0.385965,6,0
2024010015,1,2024-09-23,MTL,PHI,5,0,1,1,5,0,18,8,11,21,8,7,1,26,0.5,15,0,26,0.5,17,0
2024010015,1,2024-09-23,PHI,MTL,0,5,0,0,0,5,21,8,7,18,8,11,0,26,0.5,17,1,26,0.5,15,0
2024010016,1,2024-09-23,EDM,CGY,3,6,0,1,2,5,43,11,13,18,7,14,1,38,0.492063,14,0,23,0.507937,20,0
2024010016,1,2024-09-23,CGY,EDM,6,3,1,0,5,2,18,7,14,43,11,13,0,23,0.507937,20,1,38,0.492063,14,0
2024010017,1,2024-09-23,COL,DAL,2,3,0,1,1,2,21,8,7,20,9,10,1,33,0.375,4,0,30,0.625,2,0
2024010017,1,2024-09-23,DAL,COL,3,2,1,0,2,1,20,9,10,21,8,7,0,30,0.625,2,1,33,0.375,4,0
2024010018,1,2024-09-23,CGY,EDM,6,1,1,1,4,0,14,5,9,13,8,11,1,25,0.52,8,0,31,0.48,8,0
2024010018,1,2024-09-23,EDM,CGY,1,6,0,0,0,4,13,8,11,14,5,9,0,31,0.48,8,1,25,0.52,8,0
2024010019,1,2024-09-23,UTA,LAK,3,2,1,1,1,1,12,9,7,22,8,14,0,39,0.722222,8,1,39,0.277778,8,0
2024010019,1,2024-09-23,LAK,UTA,2,3,0,0,1,1,22,8,14,12,9,7,1,39,0.277778,8,0,39,0.722222,8,0
